"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"15147","AGUNI","SM","A G UNIVERSAL LIMITED",0.01,1,"","",0,10,"INE0O6N01012",0,0,119.95,32.5,"","","",0,0,0,57.95,52.45,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","AGUL"
"1515","INDCEM","EQ","INDIA CEMENTS LTD",0.01,1,"","",0,10,"INE383A01012",385,172.55,385,12.7,"","","",0,0,0,428,285.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","INDIACEM"
"15151","MADMAR","EQ","MADHAV MARBLES & GRANITES LTD",0.01,1,"","",0,10,"INE925C01016",91.75,37,136,9.5,"","","",0,0,0,50.98,41.71,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MADHAV"
"15156","KALFOR","EQ","KALYANI FORGE LIMITED",0.01,1,"","",0,10,"INE314G01014",727.3,371.15,727.3,36.5,"","","",0,0,0,489.2,442.65,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KALYANIFRG"
"15157","ROBHOT","EQ","ROBUST HOTELS LIMITED",0.01,1,"","",0,10,"INE508K01013",238.18,96.35,238.18,84.55,"","","",0,0,0,192.53,174.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","RHL"
"15161","HITPLA","EQ","HITECH CORPORATION LIMITED",0.01,1,"","",0,10,"INE120D01012",351.35,179.9,351.35,25.75,"","","",0,0,0,327.05,218.05,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HITECHCORP"
"15171","SOMRE1","BE","SOM DISTILLERIE BEW RIGHTS ENT",0.01,1,"","",0,10,"INE480C20020",41.15,20,41.15,20,"","","",0,0,0,54.8,23.5,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SDBL-RE1"
"15178","TRAREC","BE","TRANSFORMERS AND RECTIFIERS (I",0.01,1,"","",0,1,"INE763I01026",898.8,160,898.8,4.9,"","","",0,0,0,915.3,828.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","TARIL"
"15179","ECLSER","EQ","ECLERX SERVICES LIMITED",0.01,1,"","",0,10,"INE738I01010",3217,1915,3217,24.37,"","","",0,0,0,3433.05,2288.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ECLERX"
"15180","KGKHOS","EQ","KIRLOSKAR PNEUMATIC COLTD",0.01,1,"","",0,2,"INE811A01020",1633,541.05,1633,4.5,"","","",0,0,0,1869,1246,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KIRLPNU"
"15184","BRIENT","EQ","BRIGADE ENTERPRISES LIMITED",0.01,1,"","",0,10,"INE791I01019",1453.1,603.6,1453.1,18.6,"","","",0,0,0,1430.15,953.45,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BRIGADE"
"15189","BGRENE","EQ","BGR ENERGY SYSTEMS LIMITED",0.01,1,"","",0,10,"INE661I01014",119.5,33.1,989,19,"","","",0,0,0,39.94,32.67,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BGRENERGY"
"1519","STEBIO","BE","STERLING BIOTECH LIMITED",0.01,1,"","",0,1,"INE324C01038",0,0,263.05,0.6,"","","",0,0,0,0.75,0.65,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","STERLINBIO"
"15192","GIERE1","BE","GI ENGINEERING SOLUTIONS RE",0.01,1,"","",0,10,"INE065J20016",6.7,1.3,6.7,1.3,"","","",0,0,0,1.55,1.05,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GISO-RE"
"15198","BURCEM","BE","BURNPUR CEMENT LIMITED",0.01,1,"","",0,10,"INE817H01014",12.97,4.8,57.65,0.5,"","","",0,0,0,6.46,5.85,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BURNPUR"
"15199","MANLIM","EQ","MANAKSIA LIMITED",0.01,1,"","",0,2,"INE015D01022",148.55,88.71,212,23.2,"","","",0,0,0,108.75,72.5,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MANAKSIA"
"15204","ARIAGR","EQ","ARIES AGRO LIMITED",0.01,1,"","",0,10,"INE298I01015",342.7,167.95,342.7,24.15,"","","",0,0,0,303.6,202.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ARIES"
"15205","INN12","NP","9.6% INDIABULLS COMM. APR 25",0.01,1,"","",0,1000,"INE244L07424",0,0,0,0,"","","",0,0,0,1200,800,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","925ICCL25I"
"15209","PPAAUT","EQ","PPAP AUTOMOTIVE LIMITED",0.01,1,"","",0,10,"INE095I01015",276.7,172,723.1,24.7,"","","",0,0,0,211.57,141.04,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PPAP"
"1521","INDGLY","EQ","INDIA GLYCOLS LTD",0.01,1,"","",0,10,"INE560A01015",1548.95,662.1,1548.95,13,"","","",0,0,0,1434.2,956.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","INDIAGLYCO"
"15210","INN13","NQ","10% INDIABULLS COMM. APR 25",0.01,1,"","",0,1000,"INE244L07457",0,0,1070,815.25,"","","",0,0,0,1281.6,854.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","965ICCL25I"
"15214","DHUPET","EQ","DHUNSERI VENTURES LIMITED",0.01,1,"","",0,10,"INE477B01010",558.7,274.05,558.7,41.85,"","","",0,0,0,517.05,344.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","DVL"
"15215","INN14","NR","INDIABULLS COMM LTD 9.57",0.01,1,"","",0,1000,"INE244L07432",0,0,1000,950,"","","",0,0,0,1152,768,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","888IHFL25C"
"15219","PATINT","EQ","PATEL INTEGRATED LOGISTICS LTD",0.01,1,"","",0,10,"INE529D01014",28.67,13.92,71.33,3.43,"","","",0,0,0,25.09,16.72,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PATINTLOG"
"15220","INN15","NS","0% INDIABULLS COMM. APR 25",0.01,1,"","",0,1000,"INE244L07473",0,0,1071.11,950.2,"","","",0,0,0,1362,908,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ICCL25"
"15224","TELDAT","EQ","TELE DATA INFORMATICS LTD.",0.01,1,"","",0,2,"INE480B01022",0,0,96.45,4.45,"","","",0,0,0,8.3,5.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","TELEDATAGL"
"15228","UJJSMA","EQ","UJJIVAN SMALL FINANCE BANK LTD",0.01,1,"","",0,10,"INE551W01018",63,34.45,63,13.5,"","","",0,0,0,44.02,29.35,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","UJJIVANSFB"
"15229","LIC100","EQ","LIC NOMURA MF ETF FD NIFTY100",0.01,1,"","",0,10,"INF767K01PC8",325,201.8,325,70.1,"","","",0,0,0,325.82,217.21,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LICNFNHGP"
"15231","INN16","NT","10.25% INDIABULLS COMM. APR 26",0.01,1,"","",0,1000,"INE244L07507",0,0,0,0,"","","",0,0,0,1128,752,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","1025ICCL26"
"15234","AMBCOT","EQ","AMBIKA COTTON MILLS LIMITED",0.01,1,"","",0,10,"INE540G01014",2197.65,1385.65,2830,36.25,"","","",0,0,0,1821.6,1214.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","AMBIKCO"
"15235","INN17","NU","INDIABULLS COMMERCIAL LTD 9.80",0.01,1,"","",0,1000,"INE244L07499",0,0,0,0,"","","",0,0,0,1080,720,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","98ICCL26"
"1524","INDLEA","EQ","INDIA LEASE DEVL LTD",0.01,1,"","",0,10,"INE333C01013",0,0,24.9,7.25,"","","",0,0,0,14.46,9.64,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","INDIALEASE"
"15240","INN18","NV","0% INDIABULLS COMM. 25 APR 26",0.01,1,"","",0,1000,"INE244L07531",0,0,0,0,"","","",0,0,0,1200,800,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","1050ICCL28"
