"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"842880","OPTIND","BSESEN","OPTION","27-Jun-2025","81000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",2794.6,7210.55,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7669336,"SENSEX"
"842884","OPTIND","BSESEN","OPTION","28-Mar-2025","81000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",1457.95,5590.6,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7669336,"SENSEX"
"842902","OPTIND","BSESEN","OPTION","28-Mar-2025","82000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",1061.45,4971.6,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7669336,"SENSEX"
"842919","OPTIND","BSESEN","OPTION","27-Dec-2024","82000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",971.25,4350.85,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7669336,"SENSEX"
"842970","OPTIND","BSESEN","OPTION","27-Jun-2025","81000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",1583.95,3711.5,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7669336,"SENSEX"
"842996","OPTIND","BSESEN","OPTION","28-Mar-2025","82000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",1608.95,4265.75,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7669336,"SENSEX"
"843093","OPTIND","BSESEN","OPTION","27-Dec-2024","81000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",0.05,2414.95,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7669336,"SENSEX"
"843133","OPTIND","BSESEN","OPTION","27-Jun-2025","82000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",2336.95,6582.85,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7669336,"SENSEX"
"843173","OPTIND","BSESEN","OPTION","28-Mar-2025","81000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",938.8,3689.6,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7669336,"SENSEX"
"843240","OPTIND","BSESEN","OPTION","27-Jun-2025","82000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",1904.45,4210.35,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7669336,"SENSEX"
"843257","OPTIND","BSESEN","OPTION","27-Dec-2024","81000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",0.05,3223.55,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7669336,"SENSEX"
"843267","OPTIND","BSESEN","OPTION","27-Dec-2024","82000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",0.05,2589.45,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7669336,"SENSEX"
"844494","OPTIND","BSESEN","OPTION","27-Dec-2024","70000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",9065.75,14968.35,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",666540,"SENSEX"
"844718","OPTIND","BSESEN","OPTION","27-Jun-2025","70000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",11571.5,17377.95,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",881820,"SENSEX"
"845047","OPTIND","BSESEN","OPTION","27-Jun-2025","70000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",0.05,637.8,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",140575,"SENSEX"
"845460","OPTIND","BSESEN","OPTION","27-Dec-2024","70000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",0.05,371.7,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",141295,"SENSEX"
"846151","OPTIND","BSESEN","OPTION","27-Jun-2025","83000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",1920.5,5995,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7867425,"SENSEX"
"846258","OPTIND","BSESEN","OPTION","27-Dec-2024","83000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",0.05,2487.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7867425,"SENSEX"
"846319","OPTIND","BSESEN","OPTION","28-Mar-2025","83000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",717.5,4404.9,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7867425,"SENSEX"
"846335","OPTIND","BSESEN","OPTION","27-Dec-2024","83000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",1150.7,5092.75,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7867425,"SENSEX"
"846391","OPTIND","BSESEN","OPTION","27-Jun-2025","83000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",1941.35,4750.35,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7867425,"SENSEX"
"846402","OPTIND","BSESEN","OPTION","28-Mar-2025","83000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",1698.45,4894.4,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7867425,"SENSEX"
"846502","OPTIND","BSESEN","OPTION","27-Dec-2024","84000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",0.05,1582.2,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7867425,"SENSEX"
"846540","OPTIND","BSESEN","OPTION","27-Jun-2025","84000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",1544.45,5447.25,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7867425,"SENSEX"
"846546","OPTIND","BSESEN","OPTION","28-Mar-2025","84000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",423.95,3890.1,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7867425,"SENSEX"
"846561","OPTIND","BSESEN","OPTION","27-Dec-2024","84000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",937.7,4535.45,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7867425,"SENSEX"
"846604","OPTIND","BSESEN","OPTION","27-Jun-2025","84000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",2661.1,5330.65,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7867425,"SENSEX"
"846608","OPTIND","BSESEN","OPTION","28-Mar-2025","84000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",2156.35,5573.6,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7867425,"SENSEX"
"850168","OPTIND","BSESEN","OPTION","27-Dec-2024","74000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",4016.1,9861.35,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",432535,"SENSEX"
"852792","OPTIND","BSESEN","OPTION","27-Jun-2025","74000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",7104.2,12607.6,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",637475,"SENSEX"
"854074","OPTIND","BSESEN","OPTION","27-Dec-2024","74000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",40,0,10,5,"BSE SENSEX","","","","",0.05,589.55,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8036903,"SENSEX"
"857687","OPTIND","BSESEN","OPTION","27-Jun-2025","74000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",0.05,1326.25,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",256815,"SENSEX"
"861529","OPTIND","BSESEN","OPTION","27-Jun-2025","71000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",10774.55,16491.45,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",816405,"SENSEX"
"862119","OPTIND","BSESEN","OPTION","27-Jun-2025","71000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",0.05,851.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",165310,"SENSEX"
"864644","OPTIND","BSESEN","OPTION","27-Dec-2024","71000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",8215.75,14002.95,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",602295,"SENSEX"
"865928","OPTIND","BSESEN","OPTION","27-Jun-2025","75000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",381.65,1558.25,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",293320,"SENSEX"
"866571","OPTIND","BSESEN","OPTION","28-Mar-2025","85000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",2936.6,6300.35,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7998680,"SENSEX"
"866664","OPTIND","BSESEN","OPTION","27-Dec-2024","85000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",0.05,1902.9,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7998680,"SENSEX"
"866728","OPTIND","BSESEN","OPTION","27-Jun-2025","79000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",3833.15,8582.3,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7374535,"SENSEX"
"866760","OPTIND","BSESEN","OPTION","27-Jun-2025","85000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",1207.8,4939.25,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7998680,"SENSEX"
"866856","OPTIND","BSESEN","OPTION","28-Mar-2025","85000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",178.1,3426.15,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7998680,"SENSEX"
"866926","OPTIND","BSESEN","OPTION","27-Dec-2024","79000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",0.05,2208.65,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7374535,"SENSEX"
"866952","OPTIND","BSESEN","OPTION","27-Dec-2024","85000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",2737.35,7094.6,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7998680,"SENSEX"
"867035","OPTIND","BSESEN","OPTION","27-Jun-2025","85000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",3097.95,5950.4,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7998680,"SENSEX"
"867049","OPTIND","BSESEN","OPTION","27-Jun-2025","79000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",1053.45,2837.3,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7374535,"SENSEX"
"867235","OPTIND","BSESEN","OPTION","27-Dec-2024","71000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",0.05,558.85,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",170280,"SENSEX"
"867275","OPTIND","BSESEN","OPTION","27-Dec-2024","79000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",721.9,4737.45,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7374535,"SENSEX"
"871062","OPTIND","BSESEN","OPTION","27-Dec-2024","75000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",3226.95,8455.2,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",383820,"SENSEX"
